videoId,kind,playlistId,title,channelId,channelTitle,id,description,videoOwnerChannelTitle,videoOwnerChannelId,publishedAt
gVJazSQk25o,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,"The Flight to Neverland (From ""Hook"")",UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"Provided to YouTube by Universal Music Group\N\NThe Flight to Neverland (From ""Hook"") · Wiener Philharmoniker · John Williams\N\NJohn Williams in Vienna\N\N℗ 2020 Deutsche Grammophon GmbH, Berlin\N\NReleased on: 2020-08-14\N\NProducer, Studio  Personnel, Editor, Mixer: Bernhard Guettler\NStudio  Personnel, Recording  Engineer: Tobias Lehmann\NStudio  Personnel, Asst.  Recording  Engineer: Wolfgang Schiefermair\NStudio  Personnel, Mastering  Engineer: Christoph Stickel\NOrchestra: Wiener Philharmoniker\NConductor: John Williams\NComposer: John Williams\N\NAuto-generated by YouTube.",,,2020-08-14T14:05:51Z
E3mwUxZOrW4,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,"John Williams & Wiener Philharmoniker – Excerpts from ""Close Encounters Of The Third Kind""",UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,Subscribe here for more classical video clips – The Best Of Classical Music: http://bit.ly/Subscribe_DG\N\N\NDiscover full concert performances on DG Premium - registration and basic library are free: https://www.dg-premium.com\NGet your front row ticket here for exclusive streams and world premieres with leading artists: https://www.dg-stage.com \N_______________\N \NFind Deutsche Grammophon Online\N \NHomepage: http://deutschegrammophon.com\NFacebook:  http://fb.com/deutschegrammophon\NTwitter:   http://twitter.com/dgclassics\NInstagram:  http://instagram.com/dgclassics\NNewsletter:  https://deutschegrammophon.com/newsletter \N \N_______________\N \N最优质古典音乐 – 此处订阅: http://bit.ly/Subscribe_DG\NLe meilleur de la musique classique. Pour vous abonner cliquez ici: http://bit.ly/Subscribe_DG\N最高のクラシック音楽―登録はこちら: http://bit.ly/Subscribe_DG\N최고의 클래식음악을 구독하세요: http://bit.ly/Subscribe_DG\NЛучшая Классическая Музыка - Подписаться: http://bit.ly/Subscribe_DG\NLa mejor música clásica - Suscríbase aquí: http://bit.ly/Subscribe_DG\N\N\N#ClassicalMusic,,,2020-09-28T10:40:59Z
qsCZP3wdF4w,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,John Williams & Vienna Philharmonic feat. Anne-Sophie Mutter – “Hedwig’s Theme” From “Harry Potter”,UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"John Williams & Vienna Philharmonic feat. Anne-Sophie Mutter – “Hedwig’s Theme” From “Harry Potter”\NListen to “John Williams in Vienna”: https://DG.lnk.to/DGWilliams\NSubscribe here for more classical video clips – The Best Of Classical Music: http://bit.ly/Subscribe_DG\N\NHollywood legend John Williams conducted the world-famous Vienna Philharmonic for the very first time in a landmark concert of his best-loved movie music in January 2020. Nominated for 52 Oscars, Williams has composed the soundtracks of our lives with his scores for “Jaws”, “Star Wars”, “Indiana Jones”, “Jurassic Park” and many more. For the concert held at Vienna’s Musikverein Williams is joined by violinist Anne-Sophie Mutter for a series of the virtuosic adaptations written specially for her, including “Hedwig's Theme” From “Harry Potter”, continuing an artistic partnership formed last year for Deutsche Grammophon’s album “Across The  Stars”. The live recording is available now. Also available in Dolby Atmos®.\N\N\NDiscover full concert performances on DG Premium - registration and basic library are free: https://www.dg-premium.com\NGet your front row ticket here for exclusive streams and world premieres with leading artists: https://www.dg-stage.com \N_______________\N \NFind Deutsche Grammophon Online\N \NHomepage: http://deutschegrammophon.com\NFacebook:  http://fb.com/deutschegrammophon\NTwitter:   http://twitter.com/dgclassics\NInstagram:  http://instagram.com/dgclassics\NNewsletter:  https://deutschegrammophon.com/newsletter \N \N_______________\N \N最优质古典音乐 – 此处订阅: http://bit.ly/Subscribe_DG\NLe meilleur de la musique classique. Pour vous abonner cliquez ici: http://bit.ly/Subscribe_DG\N最高のクラシック音楽―登録はこちら: http://bit.ly/Subscribe_DG\N최고의 클래식음악을 구독하세요: http://bit.ly/Subscribe_DG\NЛучшая Классическая Музыка - Подписаться: http://bit.ly/Subscribe_DG\NLa mejor música clásica - Suscríbase aquí: http://bit.ly/Subscribe_DG\N\N\N#JohnWilliams #AnneSophieMutter #HarryPotter",,,2020-08-07T07:04:06Z
uf31PkBFuUg,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,"Theme (From ""Sabrina"" / Audio)",UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"In the midst of his work on Star Wars’ Final Episode IX John Williams has created and conducted a complete album with Anne-Sophie Mutter and in mutual admiration. It presents his personal selection of iconic themes as well as rediscovered gems from more than 40 years of his music for film. Recorded at the iconic Sony Pictures scoring stage in Los Angeles where many of the great film scores were recorded, including those of The Wizard of Oz, Gone with the Wind, Lawrence of Arabia, An American in Paris, E.T. and Schindler’s List, among many, many others. “That’s the wonderful thing about John’s music – it exists even without the film.” – Anne-Sophie Mutter\NAnne-Sophie Mutter - Theme From ""Sabrina"" / Pseudovideo\NListen on a streaming platform of your choice: https://dg.lnk.to/MutterWilliams\N\N#ClassicalMusic #AnneSophieMutter #JohnWilliams\N\N\NMusic video by Anne-Sophie Mutter, The Recording Arts Orchestra of Los Angeles, John Williams performing Theme (From ""Sabrina"" / Audio). © 2019 Deutsche Grammophon GmbH, Berlin\N\Nhttp://vevo.ly/DpMvdO",,,2020-09-22T16:29:13Z
vHkxYvMTnZ4,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,"Donnybrook Fair (Based On ""Blowing Off Steam"" From ""Far And Away"" / Audio)",UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"In the midst of his work on Star Wars’ Final Episode IX John Williams has created and conducted a complete album with Anne-Sophie Mutter and in mutual admiration. It presents his personal selection of iconic themes as well as rediscovered gems from more than 40 years of his music for film. Recorded at the iconic Sony Pictures scoring stage in Los Angeles where many of the great film scores were recorded, including those of The Wizard of Oz, Gone with the Wind, Lawrence of Arabia, An American in Paris, E.T. and Schindler’s List, among many, many others. “That’s the wonderful thing about John’s music – it exists even without the film.” – Anne-Sophie Mutter\NAnne-Sophie Mutter - Donnybrook Fair Based On ""Blowing Off Steam"" From ""Far And Away"" \NListen on a streaming platform of your choice: https://dg.lnk.to/MutterWilliams\N\N#ClassicalMusic #AnneSophieMutter #JohnWilliams\N\N\NMusic video by Anne-Sophie Mutter, The Recording Arts Orchestra of Los Angeles, John Williams performing Donnybrook Fair (Based On ""Blowing Off Steam"" From ""Far And Away"" / Audio). © 2019 Deutsche Grammophon GmbH, Berlin\N\Nhttp://vevo.ly/JUzaii",,,2020-09-22T16:31:37Z
8bPzIG3IlKM,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,Private video,UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,This video is private.,,,2020-07-27T16:57:08Z
QzktzdBtVRM,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,"Adventures on Earth (From ""E.T. the Extra-Terrestrial"")",UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"Provided to YouTube by Universal Music Group\N\NAdventures on Earth (From ""E.T. the Extra-Terrestrial"") · Wiener Philharmoniker · John Williams\N\NJohn Williams in Vienna\N\N℗ 2020 Deutsche Grammophon GmbH, Berlin\N\NReleased on: 2020-08-14\N\NProducer, Studio  Personnel, Editor, Mixer: Bernhard Guettler\NStudio  Personnel, Recording  Engineer: Tobias Lehmann\NStudio  Personnel, Asst.  Recording  Engineer: Wolfgang Schiefermair\NStudio  Personnel, Mastering  Engineer: Christoph Stickel\NOrchestra: Wiener Philharmoniker\NConductor: John Williams\NComposer: John Williams\N\NAuto-generated by YouTube.",,,2020-08-14T14:06:23Z
-NqaupGcCpw,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,John Williams & Vienna Philharmonic – Williams: Theme from “Jurassic Park”,UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"John Williams & Vienna Philharmonic – Williams: Theme from “Jurassic Park”\NDiscover “John Williams in Vienna”: http://dg.lnk.to/Williams \N \NHollywood legend John Williams has just added to an already incredibly long list of achievements by making his conducting debut with the Wiener Philharmoniker to perform iconic themes from “Jurassic Park”, “Star Wars” and “Harry Potter”, among other cinematic landmarks. The concert held at Vienna’s Musikverein in January 2020 – which was also the first performance Williams had ever conducted in continental Europe – is available now. Also available in Dolby Atmos®.\N  \NJohn Williams & Vienna Philharmonic – Williams: Theme from “Jurassic Park”\NDiscover “John Williams in Vienna”: http://dg.lnk.to/Williams \NSubscribe here – The Best Of Classical Music: http://bit.ly/Subscribe_DG \N \NDiscover full concert performances on DG Premium - registration and basic library are free: https://www.dg-premium.com\NGet your front row ticket here for exclusive streams and world premieres with leading artists: https://www.dg-stage.com \N_______________\N \NFind Deutsche Grammophon Online\N \NHomepage: http://deutschegrammophon.com\NFacebook:  http://fb.com/deutschegrammophon\NTwitter:   http://twitter.com/dgclassics\NInstagram:  http://instagram.com/dgclassics\NNewsletter:  http://deutschegrammophon.com/gpp/index/newsletter\N \N_______________\N \N최고의 클래식음악을 구독하세요: http://bit.ly/Subscribe_DG\N最高のクラシック音楽―登録はこちら: http://bit.ly/Subscribe_DG\N最优质古典音乐 – 此处订阅: http://bit.ly/Subscribe_DG\NЛучшая Классическая Музыка - Подписаться: http://bit.ly/Subscribe_DG\NLa mejor música clásica - Suscríbase aquí: http://bit.ly/Subscribe_DG\NLe meilleur de la musique classique. Pour vous abonner cliquez ici: http://bit.ly/Subscribe_DG\N \N#JurassicPark  #JohnWilliams #JohnWilliamsinVienna",,,2020-06-30T12:23:12Z
UcFehUW1NCA,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,"Suite (From ""Jaws"")",UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,"Provided to YouTube by Universal Music Group\N\NSuite (From ""Jaws"") · Wiener Philharmoniker · John Williams\N\NJohn Williams in Vienna\N\N℗ 2020 Deutsche Grammophon GmbH, Berlin\N\NReleased on: 2020-08-14\N\NProducer, Studio  Personnel, Editor, Mixer: Bernhard Guettler\NStudio  Personnel, Recording  Engineer: Tobias Lehmann\NStudio  Personnel, Asst.  Recording  Engineer: Wolfgang Schiefermair\NStudio  Personnel, Mastering  Engineer: Christoph Stickel\NOrchestra: Wiener Philharmoniker\NConductor: John Williams\NComposer: John Williams\N\NAuto-generated by YouTube.",,,2020-08-14T14:06:46Z
kNTuEKg7lrU,youtube#playlistItem,PLcSkPXginhQcdssSEt5PLtT2-MTmqHy_w,Private video,UC34DbNyD_0t8tnOc5V38Big,Deutsche Grammophon - DG,,This video is private.,,,2020-08-14T07:57:01Z
