videoId,publishedAt,title,channelId,channelTitle,categoryId,liveBroadcastContent,description,viewCount,likeCount,favoriteCount,commentCount,duration,caption,topicCategories,licensedContent,contentRating
TFIauKbM5K0,2021-11-17T12:57:39Z,Workshop Cơ Hội Làm Việc Từ Xa Cho Software Engineer & Data Scientist,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Buổi workshop Irelanding (https://irelandingfutures.com/en/home) mình tham dự để chia sẻ về kinh nghiệm cũng như một số tips tìm việc làm từ xa tốt nha. Có một số tips mình thấy cực kỳ hữu ích luôn, nên nếu bạn đang muốn tìm việc online thì dành thời gian xem và chia sẻ nha, bảo đảm bạn sẽ không thấy phí 1h30p đâu ;)\N\NTheo dõi mình ở:\NTwitter: https://twitter.com/phuctm97\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97",4661,160,0,25,1:43:41,false,,False,{}
YLsmqt4SBB0,2021-09-23T12:00:14Z,Học Sâu vs. Học Rộng (Specialist vs. Generalist),UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Nên học sâu hay học rộng? Nên trở thành Specialist hay Generalist? Điểm lợi và điểm hại của mỗi cách, và cách để phát triển tốt hơn ở mỗi hướng.\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",3288,271,0,24,0:08:03,false,,False,{}
Rk5FIBlFiQo,2021-09-14T13:15:11Z,Làm Việc Từ Xa Có Phải Đóng Thuế?,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Hi mọi người, hôm nay mình trả lời câu hỏi khó nhằn nhứt đầu mà nhiều bạn lo lắng khi làm việc từ xa nha. Làm việc từ xa có phải đóng thuế? Video mang tính thao khảo, và mình không chuyên về luật và thuế nha 😄\N\NCách tính thuế thu nhập cá nhân chi tiết: https://luatvietnam.vn/thue-phi/thue-thu-nhap-ca-nhan-565-23087-article.html\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",3752,223,0,28,0:06:51,false,,False,{}
PjFVWcKU-_0,2021-09-07T11:25:21Z,Mình cần bạn giúp đỡ,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Chào mọi người, hôm nay mình làm video khác một tí, tâm sự và lắng nghe ý kiến từ mọi người nha.\N\NMốt số khoá học mình đang nghĩ đến:\N\N1. Giúp những bạn mới vào ngành được đi thực tập sớm\N- Lập Trình Frontend - Từ 0 Đến Thực Tập\N- Lập Trình Backend - Từ 0 Đến Thực Tập\N- Lập Trình Di Động - Từ 0 Đến Thực Tập\N\N2. Giúp những bạn đang thực tập sớm trở thành junior và có việc làm chính thức:\N- Lập Trình Frontend - Từ Thực Tập Đến Junior\N- Lập Trình Backend - Từ Thực Tập Đến Junior\N\N3. Giúp những bạn đang làm junior (biết tiếng Anh) tìm được việc làm từ xa thu nhập cao:\N- Từng Bước Cụ Thể Từ Junior Đến Việc Làm Từ Xa Ở Nước Ngoài\N\NĐây là những chủ đề mà mình từng trải qua và có kinh nghiệm nhiều nhất, mình cũng không tìm thấy được những khoá học tương tự như thế này. Mục tiêu của mỗi khoá học là giúp bạn thăng tiến đến vị trí tiếp theo và có mức thu nhập cao hơn, nên giá trị bạn nhận được cũng là rất rõ ràng (mình sẽ cân nhắc hoàn tiền nếu như bạn không đạt được kết quả mong muốn).\N\NMọi người cứ góp ý thoải mái nha, đây là những ý tưởng ban đầu của mình thôi. Nếu mình làm khoá học thì khoá học phải thật sự mang lại giá trị x10 cho bạn so với chi phí bạn bỏ ra, nếu không thì mình không làm đâu!\N\NYên tâm là mình vẫn sẽ ra video trên YouTube đều nhé! Mình chia sẻ này là để vừa minh bạch vừa buộc bản thân phải bắt đầu suy nghĩ thiết kế một hệ thống có thể giúp mình vừa tiến xa hơn với mục tiêu của mình vừa có thể ra nội dung đều cho mọi người trên YouTube mà không bị quá tải.\N\NThank you!",2828,249,0,142,0:06:05,false,,False,{}
RAICGSkQ5q0,2021-08-31T13:00:13Z,Làm 1 Điều Này Để Có Việc Làm Từ Năm 2,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,Điều quạn trọng nhất mình làm giúp mình có được việc làm từ năm 2 đại học và từ đó phát triển dần về sau.\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NGửi câu hỏi: https://ask1.phuctm97.com\N\NMột số sản phẩm của mình cho người Việt:\NViệc Internet: https://viecinternet.com,3805,267,0,36,0:18:16,false,,False,{}
zosjQO2r1Uw,2021-08-24T13:00:13Z,"Vừa đi học vừa đi làm, tốt nghiệp loại giỏi - 4 điều mình làm",UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,4 điều mình làm để có thể vừa đi học vừa đi làm nhưng vẫn có thể giữ thành tích học tập tốt và nhận học bổng.\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NGửi câu hỏi: https://ask1.phuctm97.com\N\NMột số sản phẩm của mình cho người Việt:\NViệc Internet: https://viecinternet.com,4869,350,0,39,0:10:06,false,,False,{}
lr0sdfbteE4,2021-08-17T12:00:17Z,Công thức giúp người làm IT thường giàu? (P2),UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Video phần 1: https://youtu.be/P1i3CT329J4\N\NNgành IT đang ngày một trở nên phổ biến và ""hot"" hơn, ngày càng nhiều những người thành công và nổi tiếng xuất phát từ ngành IT, ngày càng nhiều những nội dung khuyên nên học IT nhưng lại chưa có nhiều nội dung giải thích lý vì sao hay đặc điểm nào giúp người làm ngành IT thường có nhiều cơ hội, phát triển tài chính, và có ảnh hưởng lớn hơn.\N\NTrong video này mình sẽ giải thích những đặc điểm mà mình cho là quan trọng nhất của ngành IT mà mình luôn tập trung phát triển vào trong suốt quãng đường kinh nghiệm của mình. Bạn không cần phải là dân IT để xem video. Video giúp cả những bạn làm IT và không làm IT hiểu hơn về những đặc điểm giúp bản thân trở nên giá trị hơn trong ngành, từ đó có cách phát triển bản thân nhanh hơn.\N\NNội dung liên quan:\N- Phim Steve Jobs (2015): https://www.imdb.com/title/tt2080374/\N- Sách Tools of Titans: https://tiki.vn/tools-of-titans-p573927.html\N- Podcast của Naval nói chi tiết hơn về specific knowledge:\N  - https://youtu.be/E-wCAXBHnic\N  - https://youtu.be/89pHEcjtoXU\N- Bài viết nói về chia sẻ của Khoa Pug: https://www.yan.vn/khoa-pug-khuyen-si-tu-nen-chon-nganh-it-vi-luong-cao-de-mua-nha-271979.html\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NGửi câu hỏi: https://ask1.phuctm97.com\N\NMột số sản phẩm của mình cho người Việt:\NViệc Internet: https://viecinternet.com",3283,217,0,17,0:11:45,false,,False,{}
P1i3CT329J4,2021-08-10T12:00:17Z,Đặc điểm nào giúp người làm IT thường giàu? (P1),UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Ngành IT đang ngày một trở nên phổ biến và ""hot"" hơn, ngày càng nhiều những người thành công và nổi tiếng xuất phát từ ngành IT, ngày càng nhiều những nội dung khuyên nên học IT nhưng lại chưa có nhiều nội dung giải thích lý vì sao hay đặc điểm nào giúp người làm ngành IT thường có nhiều cơ hội, phát triển tài chính, và có ảnh hưởng lớn hơn.\N\NTrong video này mình sẽ giải thích những đặc điểm mà mình cho là quan trọng nhất của ngành IT mà mình luôn tập trung phát triển vào trong suốt quãng đường kinh nghiệm của mình. Bạn không cần phải là dân IT để xem video. Video giúp cả những bạn làm IT và không làm IT hiểu hơn về những đặc điểm giúp bản thân trở nên giá trị hơn trong ngành, từ đó có cách phát triển bản thân nhanh hơn.\N\NNội dung liên quan:\N- Podcast của Naval nói chi tiết hơn về specific knowledge:\N  - https://youtu.be/E-wCAXBHnic\N  - https://youtu.be/89pHEcjtoXU\N- Bài viết nói về chia sẻ của Khoa Pug: https://www.yan.vn/khoa-pug-khuyen-si-tu-nen-chon-nganh-it-vi-luong-cao-de-mua-nha-271979.html\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NGửi câu hỏi: https://ask1.phuctm97.com\N\NMột số sản phẩm của mình cho người Việt:\NViệc Internet: https://viecinternet.com",3756,260,0,28,0:12:52,false,,False,{}
L0UVaEJEGDo,2021-08-03T15:55:21Z,So sánh môi trường làm việc ở Việt Nam vs Singapore,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Livestream với anh Trần Định Thi (cựu sinh viên UIT, đang sống và làm việc ở Singapore) về story của anh, trước và sau khi sang Singapore nha! Mọi người đón xem và gửi câu hỏi nhé!\N\NTheo dõi anh Thi ở:\NFacebook: https://www.facebook.com/trandinhthi\NMedium: https://dinhthibc.medium.com\NLinkedIn: https://www.linkedin.com/in/trandinhthi",4607,173,0,0,1:19:41,false,,False,{}
kJS4eXAg9iM,2021-07-27T15:00:11Z,Bảng điểm ĐH của mình và chuyện gì diễn ra ở ĐH CNTT?,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Sẵn dịp một số bạn vừa có kết quả đại học và đang phân vân về chọn trường và ngành, chia sẻ mọi người chuyện gì diễn ra ở ĐH CNTT, môn học nào là quan trọng, nên học hay không quan trọng và không nên học nha. Đồng thời, chia sẻ full bảng điểm của mình cho video thêm thú vị luôn nha :)\N\NSản phẩm so sánh thuật toán năm 1 của mình: https://www.facebook.com/phuctm97/posts/303470023330013\N\NTheo dõi mình ở:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NGửi câu hỏi: https://ask1.phuctm97.com\N\NMột số sản phẩm của mình cho người Việt:\NViệc Internet: https://viecinternet.com",13266,462,0,88,0:23:45,false,,False,{}
